order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,2,63.16,US
ORD-000002,2026/01/03,CUST-1002,Wireless Mouse Silent,2,90.71,US
ORD-000003,2026/01/04,CUST-1003,Wireless Mouse Silent,2,27.55,US
ORD-000004,2026/01/05,CUST-1004,Smart Watch Series 5,1,73.75,US
ORD-000005,2026/01/06,CUST-1005,Standing Desk Converter,1,85.85,US
ORD-000006,2026/01/07,CUST-1006,Smart Watch Series 5,1,85.4,US
ORD-000007,2026/01/08,CUST-1007,Smart Watch Series 5,2,81.65,US
ORD-000008,2026/01/09,CUST-1008,Stainless Steel Water Bottle,3,31.31,US
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,1,50.19,US
ORD-000010,2026/01/11,CUST-1010,Ergonomic Office Chair,2,81.42,US
ORD-000011,2026/01/12,CUST-1011,Organic Cotton T-Shirt,1,44.66,US
ORD-000012,2026/01/13,CUST-1012,Standing Desk Converter,3,46.37,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,1,53.16,US
ORD-000014,2026/01/15,CUST-1014,Wireless Headphones Pro,2,41.63,US
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,1,94.76,US
ORD-000016,2026/01/17,CUST-1016,Yoga Mat Premium,1,79.79,US
ORD-000017,2026/01/18,CUST-1017,External SSD 1TB,1,40.71,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,3,50.76,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,40.29,US
ORD-000020,2026/01/21,CUST-1020,4K Webcam Pro,1,39.93,US
ORD-000021,2026/01/22,CUST-1021,Smart Watch Series 5,1,88.78,US
ORD-000022,2026/01/23,CUST-1022,Stainless Steel Water Bottle,1,43.2,US
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,1,98.22,US
ORD-000024,2026/01/25,CUST-1024,Monitor Arm Dual,3,85.48,US
ORD-000025,2026/01/26,CUST-1025,Noise Cancelling Earbuds,2,37.76,US
ORD-000026,2026/01/27,CUST-1026,Wireless Charger Pad,3,72.89,US
ORD-000027,2026/01/28,CUST-1027,Stainless Steel Water Bottle,3,50.39,US
ORD-000028,2026/01/29,CUST-1028,Smart Watch Series 5,3,64.98,US
ORD-000029,2026/01/30,CUST-1029,Leather Wallet Classic,3,72.96,US
ORD-000030,2026/01/31,CUST-1030,4K Webcam Pro,1,56.18,US
ORD-000031,2026/02/01,CUST-1031,Air Purifier Small,2,23.04,US
ORD-000032,2026/02/02,CUST-1032,Wireless Headphones Pro,1,97.75,US
ORD-000033,2026/02/03,CUST-1033,Bluetooth Speaker Mini,2,39.35,US
ORD-000034,2026/02/04,CUST-1034,Portable Power Bank,2,27.29,US
ORD-000035,2026/02/05,CUST-1035,Running Shoes Elite,2,81.76,US
ORD-000036,2026/02/06,CUST-1036,Organic Cotton T-Shirt,2,73.8,US
