order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,1,0.0,US
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,2,65.06,US
ORD-000003,2026/01/04,CUST-1003,Standing Desk Converter,1,45.96,US
ORD-000004,2026/01/05,CUST-1004,Organic Cotton T-Shirt,2,97.82,US
ORD-000005,2026/01/06,CUST-1005,Wireless Charger Pad,1,0.0,US
ORD-000006,2026/01/07,CUST-1006,Organic Cotton T-Shirt,2,0.0,US
ORD-000007,2026/01/08,CUST-1007,LED Desk Lamp,1,74.9,US
ORD-000008,2026/01/09,CUST-1008,Bluetooth Speaker Mini,1,0.0,US
ORD-000009,2026/01/10,CUST-1009,External SSD 1TB,1,47.18,US
ORD-000010,2026/01/11,CUST-1010,Running Shoes Elite,2,39.06,US
ORD-000011,2026/01/12,CUST-1011,Smart Watch Series 5,1,71.65,US
ORD-000012,2026/01/13,CUST-1012,Wireless Mouse Silent,1,79.76,US
ORD-000013,2026/01/14,CUST-1013,External SSD 1TB,2,88.38,US
ORD-000014,2026/01/15,CUST-1014,Bluetooth Speaker Mini,1,46.23,US
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,2,46.55,US
ORD-000016,2026/01/17,CUST-1016,Organic Cotton T-Shirt,2,0.0,US
ORD-000017,2026/01/18,CUST-1017,Air Purifier Small,1,0.0,US
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,1,0.0,US
ORD-000019,2026/01/20,CUST-1019,Wireless Charger Pad,2,45.97,US
ORD-000020,2026/01/21,CUST-1020,Portable Power Bank,1,0.0,US
ORD-000021,2026/01/22,CUST-1021,Bluetooth Speaker Mini,1,72.79,US
ORD-000022,2026/01/23,CUST-1022,Stainless Steel Water Bottle,2,36.96,US
ORD-000023,2026/01/24,CUST-1023,Wireless Mouse Silent,1,0.0,US
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,2,0.0,US
ORD-000025,2026/01/26,CUST-1025,Smart Watch Series 5,1,85.98,US
ORD-000026,2026/01/27,CUST-1026,Running Shoes Elite,1,0.0,US
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,1,89.52,US
ORD-000028,2026/01/29,CUST-1028,Running Shoes Elite,1,95.7,US
ORD-000029,2026/01/30,CUST-1029,Standing Desk Converter,1,0.0,US
ORD-000030,2026/01/31,CUST-1030,External SSD 1TB,1,93.87,US
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,2,0.0,US
ORD-000032,2026/02/02,CUST-1032,Standing Desk Converter,1,91.91,US
ORD-000033,2026/02/03,CUST-1033,Smart Watch Series 5,1,0.0,US
ORD-000034,2026/02/04,CUST-1034,Bluetooth Speaker Mini,1,52.37,US
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,1,51.73,US
ORD-000036,2026/02/06,CUST-1036,Mechanical Keyboard RGB,2,97.33,US
ORD-000037,2026/02/07,CUST-1037,LED Desk Lamp,1,59.96,US
ORD-000038,2026/02/08,CUST-1038,External SSD 1TB,2,58.92,US
ORD-000039,2026/02/09,CUST-1039,Standing Desk Converter,1,85.94,US
ORD-000040,2026/02/10,CUST-1040,Running Shoes Elite,1,0.0,US
ORD-000041,2026/02/11,CUST-1041,Portable Power Bank,2,96.9,US
ORD-000042,2026/02/12,CUST-1042,Wireless Charger Pad,1,60.3,US
ORD-000043,2026/02/13,CUST-1043,Noise Cancelling Earbuds,1,0.0,US
ORD-000044,2026/02/14,CUST-1044,Monitor Arm Dual,2,77.53,US
ORD-000045,2026/02/15,CUST-1045,Stainless Steel Water Bottle,1,39.7,US
ORD-000046,2026/02/16,CUST-1046,External SSD 1TB,1,0.0,US
ORD-000047,2026/02/17,CUST-1047,LED Desk Lamp,1,0.0,US
ORD-000048,2026/02/18,CUST-1048,Wireless Mouse Silent,2,94.35,US
ORD-000049,2026/02/19,CUST-1049,Ergonomic Office Chair,1,0.0,US
ORD-000050,2026/02/20,CUST-1050,Air Purifier Small,2,0.0,US
ORD-000051,2026/02/21,CUST-1051,External SSD 1TB,1,61.07,US
ORD-000052,2026/02/22,CUST-1052,Mechanical Keyboard RGB,1,63.82,US
ORD-000053,2026/02/23,CUST-1053,Standing Desk Converter,1,43.01,US
ORD-000054,2026/02/24,CUST-1054,Monitor Arm Dual,2,69.0,US
ORD-000055,2026/02/25,CUST-1055,Monitor Arm Dual,1,72.84,US
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,1,34.96,US
ORD-000057,2026/02/27,CUST-1057,Wireless Mouse Silent,2,48.76,US
ORD-000058,2026/02/28,CUST-1058,Portable Power Bank,1,0.0,US
