order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,1,0.0,US
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,2,82.16,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,1,0.0,US
ORD-000004,2026/01/05,CUST-1004,LED Desk Lamp,1,61.53,US
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,1,42.23,US
ORD-000006,2026/01/07,CUST-1006,Organic Cotton T-Shirt,2,78.5,US
ORD-000007,2026/01/08,CUST-1007,Bluetooth Speaker Mini,2,97.46,US
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,1,92.88,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,2,81.75,US
ORD-000010,2026/01/11,CUST-1010,Bluetooth Speaker Mini,2,86.63,US
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,1,0.0,US
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,2,0.0,US
ORD-000013,2026/01/14,CUST-1013,Air Purifier Small,1,79.1,US
ORD-000014,2026/01/15,CUST-1014,External SSD 1TB,2,62.34,US
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,2,79.92,US
ORD-000016,2026/01/17,CUST-1016,Stainless Steel Water Bottle,2,0.0,US
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,84.49,US
ORD-000018,2026/01/19,CUST-1018,Mechanical Keyboard RGB,2,0.0,US
ORD-000019,2026/01/20,CUST-1019,Running Shoes Elite,1,0.0,US
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,2,0.0,US
ORD-000021,2026/01/22,CUST-1021,Organic Cotton T-Shirt,2,85.98,US
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,1,42.72,US
ORD-000023,2026/01/24,CUST-1023,Bluetooth Speaker Mini,2,76.13,US
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,2,60.6,US
ORD-000025,2026/01/26,CUST-1025,4K Webcam Pro,1,82.89,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,1,78.85,US
ORD-000027,2026/01/28,CUST-1027,Stainless Steel Water Bottle,2,58.33,US
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,1,47.59,US
ORD-000029,2026/01/30,CUST-1029,LED Desk Lamp,2,50.16,US
