order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,2,58.52,US
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,2,80.48,US
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,1,99.25,US
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,2,0.0,US
ORD-000005,2026/01/06,CUST-1005,Wireless Charger Pad,2,51.33,US
ORD-000006,2026/01/07,CUST-1006,Bluetooth Speaker Mini,1,39.84,US
ORD-000007,2026/01/08,CUST-1007,4K Webcam Pro,2,0.0,US
ORD-000008,2026/01/09,CUST-1008,Yoga Mat Premium,1,50.39,US
ORD-000009,2026/01/10,CUST-1009,Yoga Mat Premium,2,0.0,US
ORD-000010,2026/01/11,CUST-1010,Stainless Steel Water Bottle,2,39.74,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,1,50.41,US
ORD-000012,2026/01/13,CUST-1012,Monitor Arm Dual,2,53.1,US
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,2,0.0,US
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,1,58.87,US
ORD-000015,2026/01/16,CUST-1015,Standing Desk Converter,1,62.47,US
ORD-000016,2026/01/17,CUST-1016,Mechanical Keyboard RGB,1,0.0,US
ORD-000017,2026/01/18,CUST-1017,Ergonomic Office Chair,2,62.05,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,2,59.37,US
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,2,0.0,US
ORD-000020,2026/01/21,CUST-1020,4K Webcam Pro,1,84.03,US
ORD-000021,2026/01/22,CUST-1021,Portable Power Bank,1,63.0,US
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,2,38.77,US
ORD-000023,2026/01/24,CUST-1023,Ergonomic Office Chair,1,61.37,US
ORD-000024,2026/01/25,CUST-1024,Wireless Mouse Silent,1,63.32,US
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,2,0.0,US
ORD-000026,2026/01/27,CUST-1026,Stainless Steel Water Bottle,1,0.0,US
ORD-000027,2026/01/28,CUST-1027,Standing Desk Converter,1,42.77,US
ORD-000028,2026/01/29,CUST-1028,4K Webcam Pro,2,91.12,US
ORD-000029,2026/01/30,CUST-1029,Wireless Charger Pad,1,0.0,US
ORD-000030,2026/01/31,CUST-1030,Standing Desk Converter,2,43.69,US
ORD-000031,2026/02/01,CUST-1031,Wireless Mouse Silent,1,31.13,US
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,1,39.84,US
ORD-000033,2026/02/03,CUST-1033,External SSD 1TB,1,0.0,US
ORD-000034,2026/02/04,CUST-1034,Standing Desk Converter,1,32.83,US
ORD-000035,2026/02/05,CUST-1035,Running Shoes Elite,2,0.0,US
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,2,0.0,US
ORD-000037,2026/02/07,CUST-1037,Noise Cancelling Earbuds,1,42.46,US
ORD-000038,2026/02/08,CUST-1038,Wireless Headphones Pro,2,45.78,US
ORD-000039,2026/02/09,CUST-1039,Running Shoes Elite,1,48.15,US
ORD-000040,2026/02/10,CUST-1040,Noise Cancelling Earbuds,2,39.9,US
ORD-000041,2026/02/11,CUST-1041,Running Shoes Elite,2,68.24,US
ORD-000042,2026/02/12,CUST-1042,Leather Wallet Classic,1,72.88,US
ORD-000043,2026/02/13,CUST-1043,Organic Cotton T-Shirt,1,92.04,US
ORD-000044,2026/02/14,CUST-1044,Standing Desk Converter,1,50.2,US
ORD-000045,2026/02/15,CUST-1045,Noise Cancelling Earbuds,1,79.12,US
ORD-000046,2026/02/16,CUST-1046,Leather Wallet Classic,1,80.06,US
ORD-000047,2026/02/17,CUST-1047,External SSD 1TB,1,36.54,US
ORD-000048,2026/02/18,CUST-1048,Mechanical Keyboard RGB,2,90.27,US
ORD-000049,2026/02/19,CUST-1049,LED Desk Lamp,2,0.0,US
ORD-000050,2026/02/20,CUST-1050,Organic Cotton T-Shirt,1,0.0,US
ORD-000051,2026/02/21,CUST-1051,Ergonomic Office Chair,1,0.0,US
ORD-000052,2026/02/22,CUST-1052,Yoga Mat Premium,1,85.86,US
ORD-000053,2026/02/23,CUST-1053,LED Desk Lamp,2,83.99,US
ORD-000054,2026/02/24,CUST-1054,Standing Desk Converter,2,49.24,US
ORD-000055,2026/02/25,CUST-1055,Running Shoes Elite,1,0.0,US
ORD-000056,2026/02/26,CUST-1056,Stainless Steel Water Bottle,1,0.0,US
ORD-000057,2026/02/27,CUST-1057,External SSD 1TB,2,0.0,US
ORD-000058,2026/02/28,CUST-1058,Wireless Headphones Pro,2,0.0,US
ORD-000059,2026/03/01,CUST-1059,External SSD 1TB,2,88.51,US
ORD-000060,2026/03/02,CUST-1060,Wireless Charger Pad,2,34.32,US
ORD-000061,2026/03/03,CUST-1061,Monitor Arm Dual,1,94.12,US
ORD-000062,2026/03/04,CUST-1062,Noise Cancelling Earbuds,1,0.0,US
ORD-000063,2026/03/05,CUST-1063,Wireless Charger Pad,2,42.57,US
ORD-000064,2026/03/06,CUST-1064,Wireless Charger Pad,2,0.0,US
ORD-000065,2026/03/07,CUST-1065,Air Purifier Small,2,80.93,US
ORD-000066,2026/03/08,CUST-1066,Running Shoes Elite,2,37.12,US
ORD-000067,2026/03/09,CUST-1067,Mechanical Keyboard RGB,1,0.0,US
ORD-000068,2026/03/10,CUST-1068,Wireless Charger Pad,2,45.15,US
ORD-000069,2026/03/11,CUST-1069,Air Purifier Small,1,94.2,US
ORD-000070,2026/03/12,CUST-1070,Wireless Charger Pad,1,99.19,US
ORD-000071,2026/03/13,CUST-1071,Wireless Mouse Silent,1,0.0,US
ORD-000072,2026/03/14,CUST-1072,Running Shoes Elite,2,66.45,US
ORD-000073,2026/03/15,CUST-1073,Portable Power Bank,2,79.39,US
ORD-000074,2026/03/16,CUST-1074,Wireless Mouse Silent,1,69.92,US
ORD-000075,2026/03/17,CUST-1075,Ergonomic Office Chair,2,98.14,US
ORD-000076,2026/03/18,CUST-1076,Ergonomic Office Chair,2,0.0,US
ORD-000077,2026/03/19,CUST-1077,Wireless Charger Pad,1,0.0,US
ORD-000078,2026/03/20,CUST-1078,Running Shoes Elite,2,34.85,US
ORD-000079,2026/03/21,CUST-1079,Yoga Mat Premium,1,39.85,US
ORD-000080,2026/03/22,CUST-1080,Air Purifier Small,2,47.45,US
ORD-000081,2026/03/23,CUST-1081,Air Purifier Small,2,0.0,US
ORD-000082,2026/03/24,CUST-1082,Bluetooth Speaker Mini,2,62.97,US
ORD-000083,2026/03/25,CUST-1083,Monitor Arm Dual,1,0.0,US
ORD-000084,2026/03/26,CUST-1084,LED Desk Lamp,2,0.0,US
ORD-000085,2026/03/27,CUST-1085,4K Webcam Pro,1,45.96,US
ORD-000086,2026/03/28,CUST-1086,4K Webcam Pro,1,0.0,US
