order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Monitor Arm Dual,2,31.61,US
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,2,11.79,US
ORD-000003,2026/01/04,CUST-1003,Wireless Headphones Pro,1,34.4,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,2,13.76,US
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,1,39.82,US
ORD-000006,2026/01/07,CUST-1006,Monitor Arm Dual,1,38.46,US
ORD-000007,2026/01/08,CUST-1007,Leather Wallet Classic,1,25.51,US
ORD-000008,2026/01/09,CUST-1008,Noise Cancelling Earbuds,2,34.91,US
ORD-000009,2026/01/10,CUST-1009,Air Purifier Small,1,27.34,US
ORD-000010,2026/01/11,CUST-1010,Wireless Mouse Silent,2,22.82,US
ORD-000011,2026/01/12,CUST-1011,Wireless Charger Pad,2,17.79,US
ORD-000012,2026/01/13,CUST-1012,Monitor Arm Dual,1,11.02,US
ORD-000013,2026/01/14,CUST-1013,Wireless Headphones Pro,1,13.66,US
ORD-000014,2026/01/15,CUST-1014,Wireless Headphones Pro,1,11.24,US
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,2,14.54,US
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,1,13.36,US
ORD-000017,2026/01/18,CUST-1017,Leather Wallet Classic,1,23.26,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,2,12.8,US
