order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,1,39.86,US
ORD-000002,2026/01/03,CUST-1002,Yoga Mat Premium,2,99.05,US
ORD-000003,2026/01/04,CUST-1003,Wireless Charger Pad,2,99.95,US
ORD-000004,2026/01/05,CUST-1004,LED Desk Lamp,2,0.0,US
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,2,53.0,US
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,2,52.7,US
ORD-000007,2026/01/08,CUST-1007,Air Purifier Small,2,65.55,US
ORD-000008,2026/01/09,CUST-1008,Standing Desk Converter,1,74.57,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,2,0.0,US
ORD-000010,2026/01/11,CUST-1010,4K Webcam Pro,1,89.26,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,2,30.34,US
ORD-000012,2026/01/13,CUST-1012,Yoga Mat Premium,2,0.0,US
ORD-000013,2026/01/14,CUST-1013,Monitor Arm Dual,2,48.38,US
ORD-000014,2026/01/15,CUST-1014,External SSD 1TB,1,0.0,US
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,2,53.19,US
ORD-000016,2026/01/17,CUST-1016,Wireless Mouse Silent,2,79.49,US
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones Pro,1,55.98,US
ORD-000018,2026/01/19,CUST-1018,Bluetooth Speaker Mini,2,74.29,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,1,0.0,US
ORD-000020,2026/01/21,CUST-1020,Noise Cancelling Earbuds,1,46.35,US
ORD-000021,2026/01/22,CUST-1021,Wireless Charger Pad,1,0.0,US
ORD-000022,2026/01/23,CUST-1022,Stainless Steel Water Bottle,1,53.15,US
ORD-000023,2026/01/24,CUST-1023,Smart Watch Series 5,2,0.0,US
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,1,72.84,US
ORD-000025,2026/01/26,CUST-1025,Noise Cancelling Earbuds,1,0.0,US
ORD-000026,2026/01/27,CUST-1026,Ergonomic Office Chair,1,61.5,US
ORD-000027,2026/01/28,CUST-1027,Leather Wallet Classic,2,98.2,US
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,2,40.73,US
ORD-000029,2026/01/30,CUST-1029,Running Shoes Elite,2,64.31,US
ORD-000030,2026/01/31,CUST-1030,Air Purifier Small,1,95.16,US
ORD-000031,2026/02/01,CUST-1031,Wireless Mouse Silent,2,0.0,US
ORD-000032,2026/02/02,CUST-1032,Noise Cancelling Earbuds,1,47.58,US
