ORD-000001,2026/01/02,CUST-1001,Yoga Mat Premium,2,75.49,US
ORD-000002,2026/01/03,CUST-1002,Stainless Steel Water Bottle,1,60.18,US
ORD-000003,2026/01/04,CUST-1003,Wireless Headphones Pro,1,96.67,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,1,57.64,US
ORD-000005,2026/01/06,CUST-1005,LED Desk Lamp,2,0.0,US
ORD-000006,2026/01/07,CUST-1006,Yoga Mat Premium,1,40.59,US
ORD-000007,2026/01/08,CUST-1007,Leather Wallet Classic,2,85.79,US
ORD-000008,2026/01/09,CUST-1008,Stainless Steel Water Bottle,2,53.65,US
ORD-000009,2026/01/10,CUST-1009,Noise Cancelling Earbuds,1,67.51,US
ORD-000010,2026/01/11,CUST-1010,Yoga Mat Premium,1,50.78,US
ORD-000011,2026/01/12,CUST-1011,Running Shoes Elite,2,64.24,US
ORD-000012,2026/01/13,CUST-1012,Stainless Steel Water Bottle,2,42.27,US
ORD-000013,2026/01/14,CUST-1013,Wireless Charger Pad,1,86.86,US
ORD-000014,2026/01/15,CUST-1014,External SSD 1TB,2,55.19,US
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,1,84.68,US
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,1,70.21,US
ORD-000017,2026/01/18,CUST-1017,Monitor Arm Dual,2,0.0,US
ORD-000018,2026/01/19,CUST-1018,Portable Power Bank,1,40.49,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,55.65,US
ORD-000020,2026/01/21,CUST-1020,Monitor Arm Dual,2,69.36,US
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,2,54.61,US
ORD-000022,2026/01/23,CUST-1022,Smart Watch Series 5,2,37.18,US
ORD-000023,2026/01/24,CUST-1023,Wireless Headphones Pro,2,78.98,US
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,1,0.0,US
ORD-000025,2026/01/26,CUST-1025,Stainless Steel Water Bottle,2,91.19,US
ORD-000026,2026/01/27,CUST-1026,LED Desk Lamp,2,0.0,US
ORD-000027,2026/01/28,CUST-1027,Air Purifier Small,1,34.56,US
ORD-000028,2026/01/29,CUST-1028,Stainless Steel Water Bottle,1,97.91,US
ORD-000029,2026/01/30,CUST-1029,Mechanical Keyboard RGB,2,59.86,US
ORD-000030,2026/01/31,CUST-1030,Portable Power Bank,1,56.16,US
ORD-000031,2026/02/01,CUST-1031,4K Webcam Pro,1,0.0,US
ORD-000032,2026/02/02,CUST-1032,4K Webcam Pro,2,52.22,US
ORD-000033,2026/02/03,CUST-1033,Smart Watch Series 5,2,48.4,US
ORD-000034,2026/02/04,CUST-1034,Smart Watch Series 5,2,79.12,US
ORD-000035,2026/02/05,CUST-1035,Ergonomic Office Chair,1,72.89,US
ORD-000036,2026/02/06,CUST-1036,Wireless Charger Pad,1,54.9,US
ORD-000037,2026/02/07,CUST-1037,Bluetooth Speaker Mini,2,59.28,US
ORD-000038,2026/02/08,CUST-1038,Yoga Mat Premium,1,0.0,US
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,2,62.02,US
ORD-000040,2026/02/10,CUST-1040,Ergonomic Office Chair,1,59.37,US
ORD-000041,2026/02/11,CUST-1041,Standing Desk Converter,2,79.52,US
ORD-000042,2026/02/12,CUST-1042,Noise Cancelling Earbuds,1,70.74,US
ORD-000043,2026/02/13,CUST-1043,Portable Power Bank,2,33.64,US
ORD-000044,2026/02/14,CUST-1044,LED Desk Lamp,2,42.2,US
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,1,87.58,US
ORD-000046,2026/02/16,CUST-1046,External SSD 1TB,2,33.06,US
ORD-000047,2026/02/17,CUST-1047,Bluetooth Speaker Mini,1,37.46,US
ORD-000048,2026/02/18,CUST-1048,Wireless Mouse Silent,2,55.03,US
ORD-000049,2026/02/19,CUST-1049,Bluetooth Speaker Mini,2,39.01,US
ORD-000050,2026/02/20,CUST-1050,Leather Wallet Classic,1,65.52,US
ORD-000051,2026/02/21,CUST-1051,Smart Watch Series 5,1,57.1,US
ORD-000052,2026/02/22,CUST-1052,Ergonomic Office Chair,1,39.51,US
ORD-000053,2026/02/23,CUST-1053,Air Purifier Small,1,33.56,US
ORD-000054,2026/02/24,CUST-1054,Portable Power Bank,1,0.0,US
ORD-000055,2026/02/25,CUST-1055,Portable Power Bank,2,44.16,US
ORD-000056,2026/02/26,CUST-1056,Leather Wallet Classic,1,58.59,US
