order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,1,97.5
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,1,59.58
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,3,86.5
ORD-000004,2026/01/05,CUST-1004,Wireless Charger Pad,1,31.27
ORD-000005,2026/01/06,CUST-1005,Running Shoes Elite,2,68.99
ORD-000006,2026/01/07,CUST-1006,Portable Power Bank,1,63.44
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,1,77.26
ORD-000008,2026/01/09,CUST-1008,Ergonomic Office Chair,1,87.29
ORD-000009,2026/01/10,CUST-1009,Noise Cancelling Earbuds,3,70.44
ORD-000010,2026/01/11,CUST-1010,Wireless Headphones Pro,1,35.69
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,1,36.67
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,2,48.63
ORD-000013,2026/01/14,CUST-1013,LED Desk Lamp,3,89.08
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,3,89.86
ORD-000015,2026/01/16,CUST-1015,Wireless Headphones Pro,3,89.84
ORD-000016,2026/01/17,CUST-1016,Noise Cancelling Earbuds,1,99.84
ORD-000017,2026/01/18,CUST-1017,Wireless Mouse Silent,1,98.7
ORD-000018,2026/01/19,CUST-1018,Wireless Headphones Pro,2,32.06
ORD-000019,2026/01/20,CUST-1019,Ergonomic Office Chair,3,79.01
ORD-000020,2026/01/21,CUST-1020,Standing Desk Converter,1,95.17
ORD-000021,2026/01/22,CUST-1021,Ergonomic Office Chair,1,95.97
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,1,68.36
ORD-000023,2026/01/24,CUST-1023,Yoga Mat Premium,1,87.52
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,1,71.09
ORD-000025,2026/01/26,CUST-1025,Stainless Steel Water Bottle,3,55.03
ORD-000026,2026/01/27,CUST-1026,Bluetooth Speaker Mini,2,65.88
ORD-000027,2026/01/28,CUST-1027,Air Purifier Small,1,60.66
ORD-000028,2026/01/29,CUST-1028,Standing Desk Converter,2,91.4
ORD-000029,2026/01/30,CUST-1029,LED Desk Lamp,1,46.8
ORD-000030,2026/01/31,CUST-1030,Yoga Mat Premium,2,96.47
ORD-000031,2026/02/01,CUST-1031,Ergonomic Office Chair,3,97.92
ORD-000032,2026/02/02,CUST-1032,Yoga Mat Premium,2,64.2
ORD-000033,2026/02/03,CUST-1033,4K Webcam Pro,1,88.61
ORD-000034,2026/02/04,CUST-1034,Bluetooth Speaker Mini,2,29.4
ORD-000035,2026/02/05,CUST-1035,Wireless Charger Pad,3,44.79
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,2,39.77
ORD-000037,2026/02/07,CUST-1037,Smart Watch Series 5,2,52.15
ORD-000038,2026/02/08,CUST-1038,Organic Cotton T-Shirt,3,51.98
ORD-000039,2026/02/09,CUST-1039,Ergonomic Office Chair,3,85.73
ORD-000040,2026/02/10,CUST-1040,Wireless Headphones Pro,3,72.54
ORD-000041,2026/02/11,CUST-1041,Running Shoes Elite,2,68.82
ORD-000042,2026/02/12,CUST-1042,Mechanical Keyboard RGB,1,69.6
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,2,65.18
ORD-000044,2026/02/14,CUST-1044,Bluetooth Speaker Mini,2,50.38
ORD-000045,2026/02/15,CUST-1045,Leather Wallet Classic,1,41.15
ORD-000046,2026/02/16,CUST-1046,Smart Watch Series 5,1,43.0
ORD-000047,2026/02/17,CUST-1047,Wireless Headphones Pro,3,63.82
ORD-000048,2026/02/18,CUST-1048,Monitor Arm Dual,3,88.77
ORD-000049,2026/02/19,CUST-1049,Yoga Mat Premium,1,48.28
ORD-000050,2026/02/20,CUST-1050,4K Webcam Pro,1,84.43
ORD-000051,2026/02/21,CUST-1051,Yoga Mat Premium,1,36.77
ORD-000052,2026/02/22,CUST-1052,Monitor Arm Dual,3,31.76
ORD-000053,2026/02/23,CUST-1053,Running Shoes Elite,3,34.0
ORD-000054,2026/02/24,CUST-1054,Stainless Steel Water Bottle,2,45.55
ORD-000055,2026/02/25,CUST-1055,Wireless Charger Pad,2,82.23
ORD-000056,2026/02/26,CUST-1056,Standing Desk Converter,3,28.47
ORD-000057,2026/02/27,CUST-1057,Portable Power Bank,2,64.25
